,cosmo_solubility_g_100g_log,solute_chiral_u,solute_reactive,solute_SlogP_VSA6,solute_SMR_VSA4,solute_PEOE_VSA+4,solute_logP(o/w),solute_PEOE_RPC-,solute_a_ICM,solute_rsynth,solvent_rsynth,solute_PEOE_VSA-0,solute_radius,solute_a_nN,solute_balabanJ,solute_GCUT_PEOE_2,solute_PEOE_RPC+,solute_PEOE_VSA-4,solute_PEOE_VSA_FPOS,solute_SlogP_VSA1
phenacetin,-0.038274002265999876,0.0,-0.011265090587913505,0.0,-0.021808597361050397,0.00449444210179199,0.0,0.0,-0.006165589672831496,0.017419639178681025,-0.009809999371237553,0.0,0.004892167150978129,0.0,0.0,0.00684446681479154,0.0,0.00511366913333047,0.03408895160837567,0.0
isoniazid,-0.04186370890186932,0.0,0.03286911061022258,0.0,-0.08391290955168063,0.0,-0.03997396399951629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-hydroxy-1,2-diphenylethanone",-0.02305529695811386,0.12226859669528285,0.01662478581229679,-0.0009222847126349534,0.009412153078809911,-0.00679562944927074,0.0,0.0046622041617987164,0.015850851330342232,0.007604540572129625,0.0,-0.01620899593621964,0.0010473748240794076,0.0,-0.001621836231456404,0.0,0.006944460315765423,0.0,-0.0036008486552634804,0.0
"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",0.026266028199545682,0.0,-0.009931586061348054,0.013225529038885242,0.014535853547630892,-0.026085918268783596,0.0,0.0,-0.013032416676400713,-0.0038577272804600493,0.0,0.021899550838696626,0.0,0.0,0.0,0.0,0.0,-0.00964295363332258,0.0,0.0
paracetamol,-0.10643852015305412,0.0,-0.0026370639256597496,-0.0010758222075705913,-0.017098472481791725,0.007508413532692725,-0.00957057359041492,0.0008425391006297735,0.0,0.009807216056800027,-0.018133810981373306,0.012886870625665136,0.016120935893041033,0.0031410005079006405,0.0027545190912831117,0.0,0.002749400137609154,0.0,0.0012635073218071073,0.003955516768446288
"2,2-dichloro-n-((1s,2r)-1-(fluoromethyl)-2-hydroxy-2-(4-(methylsulfonyl)phenyl)ethyl)acetamide",-0.008810496686909105,0.0,0.031307823133738505,0.0,0.0,-0.032799805897655146,-0.005281768237081998,-0.00825611102376449,-0.009022241243473044,0.0,0.008855492236299117,0.0,0.0,0.0,0.0,0.0,0.0,-0.033265252356489326,0.0,0.0
gsk2894512a,-0.0842324305316754,0.0,0.0,0.016049098805843234,0.00459327599037383,0.0,0.0385240787018561,0.003696205920273469,0.007428421078680297,-0.018006936452539018,-0.004463326509533205,-0.01757259912623138,0.0,0.005267212294517672,0.0,0.0,0.0,0.0,0.04538136703659673,0.010499411181089246
"1,3-benzenedicarboxylic acid",-0.15777883334876922,0.0,-0.004254155581865064,-0.00428102341506508,0.010281959687488644,0.007888010469537566,0.0,0.0,0.0,0.0,0.0027431650515979773,0.0,0.012197540502543089,0.014104396272721472,0.0,-0.01356367437736955,0.0,0.006971453234168092,0.0,0.0
metacetamol,-0.2199980781582127,-0.0044594797148053015,-0.0021486678239069096,0.0,-0.01426587423154334,0.02336482596147864,-0.003967594747730624,0.0,0.0,0.005206894918592084,0.004238821471775973,0.011765471768127598,0.039914039481846124,0.006053182620213146,0.005453737681613789,-0.002763112649523237,0.0,0.0,0.009171981729305383,0.0
lamivudine,0.03648640237046158,0.0,0.03814784104544904,0.0,-0.10296020444756139,-0.013749535286124446,-0.02532323276426833,-0.003737656408276252,-0.025725643951108584,0.0,0.0,0.006507444028515701,0.0,-0.022889013431161395,0.0,-0.013712811837684788,0.0,-0.004045293389908732,0.0,0.0
