solute_name,solute_FP_315,solute_FP_378,solute_FP_1876,solute_FP_222,solute_FP_1762,solute_FP_935,solute_FP_1536,solute_FP_656,solute_FP_114,solute_FP_227,solute_FP_1991,solute_FP_1009,solute_FP_145,solute_FP_883,solute_FP_4,solute_FP_191,solute_FP_310,solute_FP_888,solute_FP_1199,solute_FP_1683
"2-hydroxypropane-1,2,3-tricarboxylic acid",0.01774100878730678,0.022682454070097304,0.3762588493651947,0.021253540605830495,0.022923578102940653,0.01791131393287122,0.018340879815932565,0.011841416781747861,0.15100297715712674,0.009264490201729298,0.014319729930979188,0.00884903542545296,-0.008922677811126711,0.01013447514375333,0.008176238571309528,-0.006863446524201373,-0.004340198316564387,0.006299929054222792,-0.0062591589400174345,0.00532481182729746
gw640129x,0.023155317245836613,0.025028146224720334,0.45829631749927646,0.021043324413365552,0.021228654099129926,0.02122097320424473,0.013257297354410183,0.006683544870660625,0.19654404331349906,0.005892855433790828,0.017047596656484528,0.010973441107111284,0.12416288698681366,0.009651249663118505,0.008346881661447697,-0.0043595036673086725,0.05723374140702982,0.004959360931155515,-0.00485356446090907,-0.01372653068006184
(benzyldisulfanyl)methylbenzene,0.0279330614493374,0.028899803328589768,-0.018556989591723323,0.02676576500619012,0.016006630626303378,0.01701376279915712,0.011546911211014959,0.027125149759776833,-0.0069328898732783275,0.010411596851772629,0.010851305644522654,0.01070143283251673,-0.007846026263763633,0.0068431950276717545,0.007396260657573294,-0.009423288816338754,-0.008139489110428258,0.0068800594379572425,0.026114198093273443,0.010280357400566573
gsk2904390a,0.04228343102799954,0.019796570463254285,-0.014592322474663888,0.0152164552493241,0.02105336379021537,-0.06644214226347686,0.011422944278870091,0.010858797388909807,0.05317206287212912,0.01077253744348127,0.006949365089712956,0.010114179521606275,0.1135222604861076,0.010153883255406983,0.008652098023121653,-0.004320854917768884,0.05040513068131872,0.006997673766218213,-0.005618676451858846,-0.04839156705196047
hydroquinone,0.026196490771035315,0.02486620791902169,-0.014506686606036965,0.019761404050759664,0.026836293683954862,0.018551479597081196,0.013658283026597929,0.012906947743595083,-0.007001463576343667,0.014966294084297262,0.0052191202516405615,0.00936624894515262,-0.013879588429626891,0.012004079560065294,0.013068037748653297,-0.00647423758819059,-0.00856577225793444,0.008334242667224316,-0.011729107637656853,0.011088335778331383
Benzoic acid,0.03157385848948331,0.02133321135324798,-0.015008229035103559,0.020326213024363823,0.02286748665839221,0.01781596468788769,0.0116647210866216,0.020857392932673025,-0.005659980221748613,0.013678893056831325,0.008817785342683276,0.00871720839139965,-0.008532729243316167,0.00841126454567648,0.0076019497270784124,-0.007690274386460537,-0.005613713058452128,0.006815672596595781,0.0264973310448018,0.01241311442132428
"oxolane-2,5-dione",0.02608449545348776,0.02858569243715465,-0.017119421369734482,0.022744014104046074,0.012613448052070453,0.022317708122500335,0.009886041373902118,-0.08050495230757405,-0.006649264932166261,0.010907584255983238,0.010732547393199638,0.007571645950774837,-0.00844583537973449,0.00654894220737333,0.006423571433360848,-0.007772084559765063,-0.008698233051727584,0.004524508886397598,-0.006991263243380672,0.009820716040358092
salicylic acid,0.026465397971324273,0.024369739159677554,-0.01732074615423335,0.01842606749084807,0.017586569101053464,0.018022748473033427,0.012842125393588503,0.02086965464271925,-0.0066246926991894725,0.01252200910935935,-0.049227700327659114,0.008427853483142098,-0.009604911936435383,0.007609313660231419,0.0075335155484048295,-0.006336525203996279,-0.004722389213013958,0.0064630737197028795,0.02440224589050376,0.011156278747935722
Testosterone propionate,0.03605034407205721,0.026217386542261634,-0.01541881435938194,0.023057318942055646,0.0183326331876151,0.016313239362661987,0.013648418732732353,0.01110289892196306,-0.008495418896095544,0.008741097905531205,0.009413560362700081,0.01190537544000108,-0.007805781935612686,0.00735479888287955,0.006223547427290441,-0.0054926692101651044,-0.0036577925472465723,0.006420731035736935,-0.00464209368588854,0.008661806370537307
4-Hydroxybenzoic acid,0.02366265230267891,0.028975411766594333,-0.01410372513809216,0.0157494823541856,0.018231643135964988,0.01650476708389033,0.012631867460841023,0.012305513113205963,-0.008017935909675544,0.006773087382054654,0.006515017320547485,0.008840702914225403,-0.007722316348637832,0.008859216627082788,0.006388514508410481,-0.005848576341260014,-0.006502970725669003,0.006426646337181411,-0.012416983625620558,0.005256377048768627
d-(-)fructose,0.03525001882914997,0.030603375657956348,-0.023615143899869507,-0.18725813238900932,0.018077055579827476,0.019011379284008097,0.009142284101981204,-0.07607870420909119,-0.01047345311587075,0.003354078625464657,0.007333555022826961,0.01536621826303114,-0.0060314262681094985,0.005239762332445631,0.007054755275033434,-0.005753704024561254,-0.0014898785672812663,0.005577616851357259,-0.008147323172355149,0.0030748118887034552
Testosterone,0.01674052015434427,0.021849837590104167,-0.017563857428879903,0.01732892108603361,0.020236845912240824,0.01632285894588373,0.018973768731284507,0.006780739241567062,-0.008886016194216305,0.008347915728845691,0.012866652407174115,0.007968376583594363,-0.011284740622177195,0.009638253173713262,0.0075299714732439795,-0.007254183042959994,-0.0069789542273550375,0.004226020209480339,-0.006230520922435971,0.0069306445836627975
