solute_name,solvent_FP_807,solvent_FP_1057,solvent_FP_695,solvent_FP_1143,solvent_FP_222,solvent_FP_650,solvent_FP_80,solvent_FP_790,solvent_FP_1683,solvent_FP_1238,solvent_FP_565,solvent_FP_794,solvent_FP_1444,solvent_FP_1,solvent_FP_591,solvent_FP_674,solvent_FP_1155,solvent_FP_1088,solvent_FP_1017,solvent_FP_294
d-(-)fructose,-0.007970461802566811,0.004799885834751574,0.011810877947355039,-0.0028769868155692773,0.010548032794322357,-0.003628361757995056,0.011696058615917763,0.021165272035753635,-0.0009680631829542108,0.0061281800926371935,-0.003046256905217888,0.009301605671888258,0.0020152942920928277,-0.0033054646884071795,0.0028543791635214197,0.006678018867775488,0.0145712489047825,0.001204314207182809,0.005715121295167289,-0.0003070275505948908
Testosterone,0.000381260495460084,-0.004356226346944822,0.006857504397921731,0.0721012234859912,0.012727182197424252,-0.006146408376765369,-0.008143598455108076,-0.0013835312722161083,-0.007038421391007432,0.002562082355786212,-0.008117534373517022,-0.012275856070021594,0.013352850976158757,-0.0023563495755267163,-0.01607224857263039,0.0015873654106690084,-0.0004128310280915078,0.0026557234045503724,0.0009507388176067858,-0.00635525425634872
sclareol,-0.006335443379284697,-0.006452630924567612,0.003027030203177426,-0.006262538115252855,-0.005632683550962115,0.0001301516155134859,0.006144350096467612,0.0007447270956105391,-0.003954121330385863,0.0002085532476485242,-0.004587497559754907,0.0006017301799693089,0.001628556213856262,-0.0017099212869884056,0.004671078793121111,-0.0014761463642521864,-0.0020651177137485568,-0.0016871526635507258,-0.0003140940271408577,0.0007995832523490456
"2-(2-bromoethoxy)-1,3,5-trichlorobenzene",0.008006104481958444,-0.013318409871608308,0.00981531399593223,-0.0015806249365907987,-0.0004201679832320746,-0.0061645354762809535,0.003562736936581652,-0.0001446860580056504,-0.005083778908260034,0.0027959856809632454,-0.006814254658934911,-0.0024508148320663693,0.0006655093805342665,0.0010038854700711193,-0.0012542498508745276,-0.01115508691582363,0.003137170876705438,0.001066876289143173,0.00015689370916723938,-0.0031773580046813416
"pyrrolidine-2,5-dione",0.022052743714363412,-0.003366744568687256,-0.010372357132121883,-0.008983392915990105,0.00021050323533927431,0.0019234027777990075,0.003641555295565316,-0.011967414547531613,-0.003352588131965604,-0.005401134424061334,-0.004437731840504664,0.003854060159850785,0.004270582957469742,0.0006008394812609672,0.0036180652510847725,0.004013626278594226,0.00561856468865244,0.0019840528785668235,-0.0027268666325047284,0.0001042983847219147
phenylphosphinic acid,-0.028336701852440454,0.023043368817525334,0.005177170411116094,-0.01327792318209807,-0.006379232787809694,-0.0031404834545901393,0.0312614799862907,0.032483595176454404,-0.004712107097050952,0.0018865359326203663,-0.004926864865641012,0.009747463035916249,0.0031388152887423834,-0.0013280485481664073,0.009412487209204604,0.0031728491673614673,0.013646800262091953,-0.00859442580731411,0.001251633447088049,0.007135026712597514
gsk3388354a,-0.0465490412442523,-0.0046304455125963226,0.007702132370603587,0.00265194318536617,-0.006855842892438367,-0.0028098147812332694,-0.009673566163237736,0.006836243818463897,-0.00723956173593511,0.004310428159998472,-0.004266290604848889,0.0018218664185146087,0.0023081967654798065,-0.0007423783450563601,-0.0027472262269865105,-0.004317950998198024,-0.0028175641872154045,0.0007123778473396668,0.0009556936131100104,-0.00714503442538054
3-[bis(3-hydroxypropyl)phosphoryl]propan-1-ol,0.0500392627333505,-0.021289891613175443,0.01499115457181428,-0.0046031583926170625,0.01596950680935801,0.0026576046250816683,0.006895045614215374,-0.006478817730619215,-0.004439656508516887,0.007589872885704868,-0.005784755590170139,-0.0012700604560450305,0.0031528470647702177,0.0019007253330398397,0.0005250620758397417,0.004037760518435139,-0.00041470603937601236,0.0026872452280700338,0.0035563070378598883,-0.0005840618582598316
4-aminobenzoic acid,0.027267736941648763,0.00025452041900947094,0.011012432513098854,0.0016951354206030376,0.009224148279875105,-0.0030907894011543246,0.003607908520888789,0.005485879356590885,-0.0050916320584801725,0.0038931590621262635,-0.004238169702415083,0.0019009764859785417,0.0032890937934528966,3.72492165539975e-05,-0.0009334025991617335,0.003908108783871284,5.512794518896653e-05,0.0011347540473810416,0.0025219866299145605,0.0005756424821156543
acetanilide,-0.03599151481317904,0.0020582682090969223,-0.008946589640250975,0.02738240679625051,-0.0017612427073061098,-0.004235307244584874,0.0036776321119219805,0.00997250616387987,-0.00120479121114613,0.005121800698368588,0.0023798487017768362,-0.0016473371425735196,-0.006882285801644912,-9.340459010331875e-05,-0.0016510240229661117,-0.002934208561937339,-0.002658336753252115,0.00015122441542189322,-0.0022850087719280057,0.0030738554979234324
